app_id,ads.txt_location
"('Instagram, Inc.', 'https://itunes.apple.com/us/developer/instagram-inc/id389801255?uo=4')",http://instagram.com/ads.txt
"('Skype Communications S.a.r.l', 'https://itunes.apple.com/us/developer/skype-communications-s-a-r-l/id304219585?mt=8&uo=4')",No ads.txt found.
"('Flashman Studios LLC', 'https://itunes.apple.com/us/developer/flashman-studios-llc/id1052876362?uo=4')",No ads.txt found.
"('Verizon Wireless', 'https://itunes.apple.com/us/developer/verizon-wireless/id411772703?uo=4')",No ads.txt found.
"('Rakuten, Inc.', 'https://itunes.apple.com/jp/developer/rakuten-inc/id373778581?uo=4')",No ads.txt found.
"('Imangi Studios, LLC', 'https://itunes.apple.com/us/developer/imangi-studios-llc/id284899742?uo=4')",No ads.txt found.
"(""Domino's Pizza Group"", 'http://itunes.apple.com/artist/dominos-pizza-group/id426415756?uo=5')",No ads.txt found.
"('Pinterest', 'http://itunes.apple.com/artist/pinterest/id328135727?uo=5')",No ads.txt found.
"('Roblox Corporation', 'http://itunes.apple.com/artist/roblox-corporation/id431946155?uo=5')",http://www.roblox.com/ads.txt
"(""Domino's Pizza LLC"", 'https://itunes.apple.com/us/developer/dominos-pizza-llc/id436491865?uo=4')",No ads.txt found.
"('Beijing Kingsoft Internet Security software Co.Ltd', 'https://itunes.apple.com/cn/developer/beijing-kingsoft-internet-security-software-co-ltd/id438883151?uo=4')",No ads.txt found.
"('Snap, Inc.', 'http://itunes.apple.com/artist/snap-inc/id446889612?uo=5')",No ads.txt found.
"(""Victoria's Secret PINK"", 'http://itunes.apple.com/artist/victorias-secret-pink/id463630402?uo=5')",No ads.txt found.
"('OfferUp Inc.', 'http://itunes.apple.com/artist/offerup-inc/id414140125?uo=5')",No ads.txt found.
"('NaturalMotion', 'https://itunes.apple.com/us/developer/naturalmotion/id330281898?uo=4')",No ads.txt found.
"('Mojang', 'https://itunes.apple.com/us/developer/mojang/id479516146?uo=4')",No ads.txt found.
"('OMGPOP', 'https://itunes.apple.com/us/developer/omgpop/id422679887?uo=4')",No ads.txt found.
"('Pavlo Shelyazhenko', 'https://itunes.apple.com/us/developer/pavlo-shelyazhenko/id1090245154?uo=4')",No ads.txt found.
"('GungHo Online Entertainment, Inc.', 'https://itunes.apple.com/jp/developer/gungho-online-entertainment-inc/id403963903?uo=4')",No ads.txt found.
"('FDG Mobile Games GbR', 'https://itunes.apple.com/us/developer/fdg-mobile-games-gbr/id302980375?uo=4')",No ads.txt found.
"('Supercell', 'https://itunes.apple.com/us/developer/supercell/id488106216?uo=4')",No ads.txt found.
"('Top Free Games', 'https://itunes.apple.com/us/developer/top-free-games/id429363358?uo=4')",No ads.txt found.
"('Kiloo', 'https://itunes.apple.com/us/developer/kiloo/id330629809?uo=4')",No ads.txt found.
"('AMZN Mobile LLC', 'https://itunes.apple.com/us/developer/amzn-mobile-llc/id297606954?uo=4')",No ads.txt found.
"('Tinder Inc.', 'http://itunes.apple.com/artist/tinder-inc/id725634363?uo=5')",No ads.txt found.
"('King', 'https://itunes.apple.com/us/developer/king/id526656015?uo=4')",No ads.txt found.
"('T-Mobile', 'http://itunes.apple.com/artist/t-mobile/id525560781?uo=5')",No ads.txt found.
"('RedSpell', 'https://itunes.apple.com/us/developer/redspell/id432306792?uo=4')",No ads.txt found.
"('Warner Bros.', 'https://itunes.apple.com/us/developer/warner-bros/id298372283?uo=4')",No ads.txt found.
"('Yahoo', 'https://itunes.apple.com/us/developer/yahoo/id281970157?mt=8&uo=4')",No ads.txt found.
"('PopCap', 'https://itunes.apple.com/cn/developer/popcap/id284832145?uo=4')",No ads.txt found.
"('Cubic Games', 'http://itunes.apple.com/artist/cubic-games/id561634640?uo=5')",No ads.txt found.
"('Etermax', 'https://itunes.apple.com/us/developer/etermax/id286461525?uo=4')",No ads.txt found.
"('Episode Interactive', 'https://itunes.apple.com/us/developer/episode-interactive/id761807761?uo=4')",No ads.txt found.
"('XFLAG, Inc.', 'https://itunes.apple.com/jp/developer/xflag-inc/id1106824482?uo=4')",No ads.txt found.
"('LINE Corporation', 'https://itunes.apple.com/jp/developer/line-corporation/id359067226?uo=4')",No ads.txt found.
"('BANDAI NAMCO Entertainment Inc.', 'https://itunes.apple.com/jp/developer/bandai-namco-entertainment-inc/id352305770?uo=4')",No ads.txt found.
"('Coinbase, Inc.', 'http://itunes.apple.com/artist/coinbase-inc/id588530553?uo=5')",No ads.txt found.
"('Joya Communications', 'https://itunes.apple.com/us/developer/joya-communications/id530046419?uo=4')",No ads.txt found.
"('HIPSTER WHALE', 'https://itunes.apple.com/us/developer/hipster-whale/id924373885?uo=4')",No ads.txt found.
"('Fun Games For Free', 'https://itunes.apple.com/us/developer/fun-games-for-free/id618574061?uo=4')",No ads.txt found.
"('Tencent Mobile Games', 'https://itunes.apple.com/cn/developer/tencent-mobile-games/id446324237?uo=4')",No ads.txt found.
"('Uber Technologies, Inc.', 'https://itunes.apple.com/us/developer/uber-technologies-inc/id368677371?uo=4')",No ads.txt found.
"('Playdemic', 'http://itunes.apple.com/artist/playdemic/id505151958?uo=5')",No ads.txt found.
"('Playgendary', 'https://itunes.apple.com/us/developer/playgendary/id1115200021?uo=4')",No ads.txt found.
"('Beijing Microlive Vision Technology Co., Ltd', 'https://itunes.apple.com/cn/developer/beijing-microlive-vision-technology-co-ltd/id1170416082?uo=4')",No ads.txt found.
"('Peak Games', 'https://itunes.apple.com/us/developer/peak-games/id476160947?uo=4')",No ads.txt found.
"('Zentertain Ltd.', 'https://itunes.apple.com/us/developer/zentertain-ltd/id371114041?uo=4')",No ads.txt found.
"('Alexey Grigorkin', 'http://itunes.apple.com/artist/alexey-grigorkin/id1023358977?uo=5')",No ads.txt found.
"('Chill Fleet', 'https://itunes.apple.com/us/developer/chill-fleet/id1191476886?uo=4')",No ads.txt found.
"('Voodoo', 'https://itunes.apple.com/us/developer/voodoo/id714804730?uo=4')",No ads.txt found.
